Country,σ′v (kPa),qt − σv (kPa),qt − u2 (kPa),u2 − u0 (kPa),Su (kPa)
Norway,319.35,1211.933,478.067,1053.216,112.7306
Sweden,14.91,153.2897,17.23596,150.9638,8.3496
Sweden,18.36,158.2816,13.91688,162.7247,8.55576
Sweden,21.8,172.4816,25.506,168.7756,8.7854
Sweden,24.67,174.5649,17.46636,181.7686,9.71998
Sweden,28.3,178.9692,17.1215,190.1477,11.1502
Sweden,31.93,206.0443,28.76893,209.2054,12.00568
Sweden,35.18,211.7836,30.74732,216.2163,12.34818
Sweden,39.2,205.9176,24.4216,220.696,13.8768
Sweden,43.4,233.926,38.7128,238.6132,15.7108
Sweden,47.04,259.3315,57.05952,249.312,16.98144
Sweden,50.48,255.4793,50.7324,255.2269,18.57664
Sweden,55.26,279.9472,69.40656,265.8006,21.38562
Sweden,61.19,308.7647,88.7255,281.2292,23.19101
Sweden,67.5,363.8925,130.0725,301.32,22.815
Sweden,74.79,321.6718,98.64801,297.8138,22.96053
Italy,38.28,734.8994,283.004,490.2137,72.19608
Italy,42.37,825.1134,317.4784,549.9626,82.02832
Italy,54.18,553.9363,222.5714,385.5449,126.6728
Italy,85.99,2124.813,930.7558,1264.311,35.85783
Canada,221,708.968,474.929,455.039,85.306
